PLAYER,Games Played,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goals Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Effective Field Goal Percentage,True Shooting Percentage
Bill Russell,165,7497,2673,1003,2335,43,-,-,-,667,1106,60.3,-,-,4104,770,-,-,-,43,47.4
Wilt Chamberlain,160,7559,3607,1425,2728,52.2,-,-,-,757,1627,46.5,-,-,3913,673,-,-,-,52.2,52.4
Tim Duncan,251,9370,5172,1975,3939,50.1,5,35,14.3,1217,1766,68.9,778,2081,2859,764,168,568,633,50.2,54.8
Shaquille O'Neal,216,8098,5250,2041,3627,56.3,0,0,0,1168,2317,50.4,866,1642,2508,582,117,459,649,56.3,56.5
Kareem Abdul-Jabbar,237,8851,5762,2356,4422,53.3,0,4,0,1050,1419,74,505,1273,2481,767,189,476,447,53.3,57.1
LeBron James,239,10049,6911,2457,5006,49.1,370,1116,33.2,1627,2191,74.3,366,1756,2122,1687,419,232,866,52.8,57.9
Karl Malone,193,7907,4761,1743,3768,46.3,6,37,16.2,1269,1725,73.6,502,1560,2062,610,258,135,550,46.3,52.6
Wes Unseld,119,4889,1260,513,1040,49.3,0,1,0,234,385,60.8,306,742,1777,453,67,55,69,49.3,52.1
Robert Parish,184,6177,2820,1132,2239,50.6,0,1,0,556,770,72.2,571,1194,1765,234,145,309,365,50.6,54.7
Elgin Baylor,134,5510,3623,1388,3161,43.9,-,-,-,847,1098,77.1,-,-,1724,541,-,-,-,43.9,49.7
Larry Bird,164,6886,3897,1458,3090,47.2,80,249,32.1,901,1012,89,360,1323,1683,1062,296,145,506,48.5,55.1
Dennis Rodman,169,4789,1081,442,902,49,7,47,14.9,190,352,54,626,1050,1676,205,106,97,258,49.4,51.1
Hakeem Olajuwon,145,5749,3755,1504,2847,52.8,4,18,22.2,743,1034,71.9,471,1150,1621,458,245,472,424,52.9,56.9
Scottie Pippen,208,8105,3642,1335,3009,44.4,200,660,30.3,772,1067,72.4,466,1117,1583,1048,395,185,602,47.7,52.4
Charles Barkley,123,4849,2833,1009,1965,51.3,64,251,25.5,751,1048,71.7,510,1072,1582,482,193,108,353,53,58.4
Kevin Garnett,143,5283,2601,1059,2216,47.8,15,55,27.3,468,593,78.9,320,1214,1534,471,178,186,342,48.1,52.5
Paul Silas,163,4619,1124,396,998,39.7,0,0,0,332,480,69.2,339,628,1527,335,81,34,73,39.7,46.5
Magic Johnson,190,7538,3701,1291,2552,50.6,51,212,24.1,1068,1274,83.8,349,1116,1465,2346,358,64,696,51.6,59.5
Horace Grant,170,6172,1907,786,1483,53,1,8,12.5,334,468,71.4,549,908,1457,360,171,173,184,53,56.5
Ben Wallace,130,4524,939,364,755,48.2,0,10,0,211,505,41.8,463,991,1454,173,199,250,136,48.2,48
