PLAYER,Games Played,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goals Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Steals,Blocks,Turnovers,Effective Field Goal Percentage,True Shooting Percentage
LeBron James,239,10049,6911,2457,5006,49.1,370,1116,33.2,1627,2191,74.3,366,1756,2122,1687,419,232,866,52.8,57.9
Scottie Pippen,208,8105,3642,1335,3009,44.4,200,660,30.3,772,1067,72.4,466,1117,1583,1048,395,185,602,47.7,52.4
Michael Jordan,179,7474,5987,2188,4497,48.7,148,446,33.2,1463,1766,82.8,305,847,1152,1022,376,158,546,50.3,56.8
Magic Johnson,190,7538,3701,1291,2552,50.6,51,212,24.1,1068,1274,83.8,349,1116,1465,2346,358,64,696,51.6,59.5
John Stockton,182,6398,2436,855,1809,47.3,111,341,32.6,615,759,81,162,446,608,1839,338,50,517,50.3,56.8
Kobe Bryant,220,8641,5640,2014,4499,44.8,292,882,33.1,1320,1617,81.6,230,889,1119,1040,310,144,647,48,54.1
Jason Kidd,158,6088,2043,720,1843,39.1,236,733,32.2,367,470,78.1,218,840,1058,1263,302,52,450,45.5,49.8
Larry Bird,164,6886,3897,1458,3090,47.2,80,249,32.1,901,1012,89,360,1323,1683,1062,296,145,506,48.5,55.1
Maurice Cheeks,133,4848,1910,772,1509,51.2,4,41,9.8,362,466,77.7,114,339,453,922,295,45,318,51.3,55.7
Manu Ginobili,218,6075,3054,956,2209,43.3,324,905,35.8,818,1001,81.7,155,719,874,827,292,61,481,50.6,57.6
Clyde Drexler,145,5572,2963,1076,2408,44.7,141,489,28.8,670,851,78.7,359,643,1002,891,278,108,397,47.6,53.2
Robert Horry,244,6823,1939,665,1562,42.6,261,728,35.9,348,482,72.2,410,951,1361,575,276,225,282,50.9,54.6
Dwyane Wade,177,6697,3954,1450,3062,47.4,103,305,33.8,951,1220,78,234,694,928,870,273,175,583,49,54.9
Derek Fisher,259,6856,2146,735,1740,42.2,285,715,39.9,391,486,80.5,74,504,578,598,272,16,237,50.4,54.9
Karl Malone,193,7907,4761,1743,3768,46.3,6,37,16.2,1269,1725,73.6,502,1560,2062,610,258,135,550,46.3,52.6
Dennis Johnson,180,6994,3116,1167,2661,43.9,26,110,23.6,756,943,80.2,262,519,781,1006,247,113,480,44.3,50.7
Hakeem Olajuwon,145,5749,3755,1504,2847,52.8,4,18,22.2,743,1034,71.9,471,1150,1621,458,245,472,424,52.9,56.9
Julius Erving,141,5288,3088,1187,2441,48.6,7,36,19.4,707,908,77.9,360,634,994,594,235,239,396,48.8,54.4
Isiah Thomas,111,4216,2261,825,1869,44.1,81,234,34.6,530,689,76.9,134,390,524,987,234,38,369,46.3,52
Byron Scott,183,5365,2451,934,1937,48.2,134,339,39.5,449,548,81.9,136,400,536,390,226,30,266,51.7,56.3
